Artist,Album,Year,Song Count,Billboard 200 peak position,Billboard weeks on chart,Number of songs w/ Explicit Tags
Demi Lovato,Don't Forget,2008,11,2,45,0
Demi Lovato,Here We Go Again,2009,14,1,24,0
Demi Lovato,Unbroken,2011,15,4,42,0
Demi Lovato,Demi,2013,13,3,51,0
Demi Lovato,Confident,2015,15,2,41,4
Demi Lovato,Tell Me You Love Me,2017,17,3,62,9
Demi Lovato,Dancing with the Devil... the Art of Starting Over,2021,19,2,8,5
Demi Lovato,HOLY FVCK,2022,16,7,2,6
Miley Cyrus,Breakout,2008,12,1,48,0
Miley Cyrus,Can't Be Tamed,2010,12,3,15,0
Miley Cyrus,Bangerz,2013,16,1,56,8
Miley Cyrus,Younger Now,2017,11,5,8,0
Miley Cyrus,Plastic Hearts,2020,15,2,34,2
Miley Cyrus,Endless Summer Vacation,2023,14,3,34,3
Selena Gomez,Kiss & Tell,2009,13,9,59,0
Selena Gomez,A Year Without Rain,2010,13,4,55,0
Selena Gomez,When the Sun Goes Down,2011,12,3,41,0
Selena Gomez,Stars Dance,2013,13,1,25,0
Selena Gomez,Revival,2015,14,1,69,1
Selena Gomez,Rare,2020,17,1,26,1